series_id,date,value
CN_10Y_YIELD,2025-08-20,1.782
CN_10Y_YIELD,2025-08-21,1.7667
CN_10Y_YIELD,2025-08-22,1.7818
CN_10Y_YIELD,2025-08-25,1.7643
CN_10Y_YIELD,2025-08-26,1.7598
CN_10Y_YIELD,2025-08-27,1.7988
CN_10Y_YIELD,2025-08-28,1.8478
CN_10Y_YIELD,2025-08-29,1.8379
CN_10Y_YIELD,2025-09-01,1.8257
CN_10Y_YIELD,2025-09-02,1.8167
CN_10Y_YIELD,2025-09-03,1.7984
CN_10Y_YIELD,2025-09-04,1.806
CN_10Y_YIELD,2025-09-05,1.826
CN_10Y_YIELD,2025-09-08,1.8514
CN_10Y_YIELD,2025-09-09,1.8641
CN_10Y_YIELD,2025-09-10,1.8992
CN_10Y_YIELD,2025-09-11,1.8743
CN_10Y_YIELD,2025-09-12,1.867
CN_10Y_YIELD,2025-09-15,1.8724
CN_10Y_YIELD,2025-09-16,1.8527
CN_10Y_YIELD,2025-09-17,1.8349
CN_10Y_YIELD,2025-09-18,1.8546
CN_10Y_YIELD,2025-09-19,1.8789
CN_10Y_YIELD,2025-09-22,1.8647
CN_10Y_YIELD,2025-09-23,1.877
CN_10Y_YIELD,2025-09-24,1.9022
CN_10Y_YIELD,2025-09-25,1.884
CN_10Y_YIELD,2025-09-26,1.8768
CN_10Y_YIELD,2025-09-28,1.8781
CN_10Y_YIELD,2025-09-29,1.887
CN_10Y_YIELD,2025-09-30,1.8605
CN_10Y_YIELD,2025-10-09,1.8466
CN_10Y_YIELD,2025-10-10,1.846
CN_10Y_YIELD,2025-10-11,1.8206
CN_10Y_YIELD,2025-10-13,1.8383
CN_10Y_YIELD,2025-10-14,1.8368
CN_10Y_YIELD,2025-10-15,1.8449
CN_10Y_YIELD,2025-10-16,1.8407
CN_10Y_YIELD,2025-10-17,1.8246
CN_10Y_YIELD,2025-10-20,1.8498
CN_10Y_YIELD,2025-10-21,1.8357
CN_10Y_YIELD,2025-10-22,1.8293
CN_10Y_YIELD,2025-10-23,1.8391
CN_10Y_YIELD,2025-10-24,1.8486
CN_10Y_YIELD,2025-10-27,1.8423
CN_10Y_YIELD,2025-10-28,1.8179
CN_10Y_YIELD,2025-10-29,1.8208
CN_10Y_YIELD,2025-10-30,1.8098
CN_10Y_YIELD,2025-10-31,1.7954
CN_10Y_YIELD,2025-11-03,1.7944
CN_10Y_YIELD,2025-11-04,1.7984
CN_10Y_YIELD,2025-11-05,1.7964
CN_10Y_YIELD,2025-11-06,1.81
CN_10Y_YIELD,2025-11-07,1.8142
CN_10Y_YIELD,2025-11-10,1.8139
CN_10Y_YIELD,2025-11-11,1.8119
CN_10Y_YIELD,2025-11-12,1.8071
CN_10Y_YIELD,2025-11-13,1.8126
CN_10Y_YIELD,2025-11-14,1.814
CN_10Y_YIELD,2025-11-17,1.8109
